Domain Code,Domain,Area Code,Area,Year Code,Year,Total Losses (1000 t),Fat supply quantity (g/capita/day)_Animal Products,Fat supply quantity (g/capita/day)_Grand Total,Fat supply quantity (g/capita/day)_Vegetal Products,Food supply (kcal/capita/day)_Animal Products,Food supply (kcal/capita/day)_Grand Total,Food supply (kcal/capita/day)_Vegetal Products,Protein supply quantity (g/capita/day)_Animal Products,Protein supply quantity (g/capita/day)_Grand Total,Protein supply quantity (g/capita/day)_Vegetal Products,Population (1000no),Total Losses (g/cap/day),Average dietary energy requirement (kcal/cap/day),Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),Minimum dietary energy requirement  (kcal/cap/day),Number of obese adults (18 years and older) (million),Prevalence of obesity in the adult population (18 years and older) (percent),Average dietary energy supply adequacy (percent) (3-year average),Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),Prevalence of undernourishment (percent) (3-year average)
FBSH,"Food Balances (-2013, old methodology and population)",159,Nigeria,20002002.0,2002,14385.0,6.0,62.0,56.0,87.0,2609.0,2522.0,8.0,59.0,51.0,126036.0,313.0,2179.0,2622.0,1692.0,3.0,5.0,120.0,2622.0,8.8
FBSH,"Food Balances (-2013, old methodology and population)",159,Nigeria,20012003.0,2003,14834.0,6.0,63.0,57.0,90.0,2609.0,2518.0,8.0,59.0,51.0,129260.0,314.0,2178.0,2622.0,1692.0,4.0,5.0,120.0,2622.0,8.8
FBSH,"Food Balances (-2013, old methodology and population)",159,Nigeria,20022004.0,2004,15674.0,6.0,64.0,58.0,92.0,2623.0,2531.0,8.0,60.0,51.0,132591.0,324.0,2176.0,2636.0,1691.0,4.0,6.0,121.0,2636.0,8.5
FBSH,"Food Balances (-2013, old methodology and population)",159,Nigeria,20032005.0,2005,16626.0,6.0,65.0,59.0,92.0,2656.0,2564.0,8.0,61.0,52.0,136045.0,335.0,2174.0,2669.0,1689.0,4.0,6.0,123.0,2670.0,7.8
FBSH,"Food Balances (-2013, old methodology and population)",159,Nigeria,20042006.0,2006,17696.0,6.0,66.0,61.0,95.0,2695.0,2600.0,9.0,62.0,53.0,139633.0,347.0,2172.0,2709.0,1688.0,5.0,6.0,125.0,2710.0,7.0
FBSH,"Food Balances (-2013, old methodology and population)",159,Nigeria,20052007.0,2007,17863.0,6.0,67.0,61.0,102.0,2717.0,2615.0,10.0,63.0,54.0,143363.0,342.0,2170.0,2732.0,1687.0,5.0,7.0,126.0,2732.0,6.6
FBSH,"Food Balances (-2013, old methodology and population)",159,Nigeria,20062008.0,2008,18170.0,6.0,66.0,60.0,104.0,2723.0,2618.0,10.0,64.0,54.0,147237.0,338.0,2168.0,2739.0,1686.0,5.0,7.0,126.0,2739.0,6.5
FBSH,"Food Balances (-2013, old methodology and population)",159,Nigeria,20072009.0,2009,17192.0,6.0,63.0,57.0,104.0,2709.0,2604.0,10.0,64.0,54.0,151259.0,312.0,2167.0,2726.0,1685.0,6.0,8.0,126.0,2725.0,6.7
FBS,Food Balances (2010-),159,Nigeria,20082010.0,2010,15712.0,6.0,59.0,53.0,99.0,2659.0,2560.0,10.0,64.0,54.0,155847.0,278.0,2166.0,2671.0,1684.0,6.0,8.0,123.0,2669.0,7.9
FBS,Food Balances (2010-),159,Nigeria,20092011.0,2011,13550.0,6.0,56.0,50.0,99.0,2605.0,2506.0,10.0,64.0,54.0,160599.0,232.0,2165.0,2611.0,1684.0,6.0,8.0,121.0,2610.0,9.2
